Fh [kN],u [mm]
0,0
0.2789,0.014514456
2.014,0.023645545
3.414,0.039009522
5.335,0.059436738
7.264,0.083680062
9.254,0.107300181
11.38,0.127119198
13.57,0.157988914
15.84,0.187581478
18.07,0.225805149
20.2,0.262888784
21.98,0.288099373
24,0.327166673
25.92,0.363528004
27.62,0.408156531
29.25,0.447393658
30.68,0.492751022
31.62,0.516802241
30.9,0.517684361
30.55,0.525519361
28.94,0.532744918
28.98,0.522647973
26.31,0.481152142
23.03,0.448671602
20.12,0.411234061
17.08,0.37786526
14.16,0.342747385
11.44,0.312371545
8.92,0.279232436
6.658,0.25031121
4.478,0.227938581
2.578,0.197949334
0.7747,0.173718357
-0.8023,0.164111245
-1.963,0.140077406
-3.353,0.127973981
-4.529,0.100246279
-6.024,0.07065781
-7.781,0.044505703
-9.542,0.009514809
-11.21,-0.028698676
-12.79,-0.06418294
-14.22,-0.103705331
-15.57,-0.145111599
-17.15,-0.172571021
-18.29,-0.214755046
-19.35,-0.253709798
-20.33,-0.288553739
-20.84,-0.336022923
-21.79,-0.375140737
-22.33,-0.41279981
-22.76,-0.460531617
-23.22,-0.464233034
-23.35,-0.472186457
-22.6,-0.480200021
-22.48,-0.472476825
-22.69,-0.47989249
-22.98,-0.481031562
-22.31,-0.465367543
-20.97,-0.416847959
-20.14,-0.376480304
-18.71,-0.345092749
-17.22,-0.302999144
-15.76,-0.267484722
-14.13,-0.232062587
-12.41,-0.200208845
-10.76,-0.161313695
-9.058,-0.124070498
-7.385,-0.08864834
-5.702,-0.059297332
-3.967,-0.026445233
-2.195,-0.000255821
-0.7401,0.03186788
0.6831,0.04170142
1.572,0.050309673
2.961,0.073655943
4.636,0.098103355
6.422,0.12201095
8.275,0.150196106
10.17,0.174279358
12.21,0.208812208
14.32,0.233419871
16.42,0.258390323
18.64,0.302208652
20.84,0.332865385
23.17,0.375714237
25.3,0.408458451
27.47,0.454036219
28.55,0.462463206
27.16,0.467641473
25.35,0.459801122
21.69,0.419110679
18.5,0.392161973
15.69,0.344321254
12.97,0.311378994
10.19,0.284744029
7.755,0.247364173
5.421,0.221327703
3.341,0.193254644
1.525,0.172545468
-0.1721,0.15142452
-1.479,0.128748833
-2.809,0.109868172
-3.894,0.091873991
-5.374,0.068119183
-7.101,0.04195305
-8.832,0.014240121
-10.45,-0.023875692
-11.96,-0.058485681
-13.45,-0.098527306
-14.95,-0.125861826
-16.33,-0.164613898
-17.67,-0.196263942
-18.75,-0.233036619
-19.84,-0.27766708
-20.65,-0.313044211
-21.45,-0.350769198
-22.11,-0.393568626
-22.62,-0.437486564
-22.34,-0.439948727
-20.34,-0.582941843
-18.5,-0.543041843
-17.59,-0.505141843
-16.02,-0.467341843
-14.54,-0.431141843
-12.81,-0.396641843
-11.09,-0.360041843
-9.303,-0.326581843
-7.533,-0.293171843
-5.667,-0.264411843
-3.799,-0.237871843
-2.092,-0.212331843
-0.6216,-0.191151843
0.7872,-0.171411843
1.626,-0.159821843
3.033,-0.141241843
4.754,-0.119841843
6.547,-0.096441843
8.45,-0.069341843
10.39,-0.046641843
12.41,-0.017241843
14.47,0.011158157
16.68,0.042758157
18.91,0.074358157
21.24,0.103258157
23.57,0.136258157
25.82,0.168058157
28.17,0.200158157
30.22,0.236258157
32.18,0.271058157
33.9,0.310558157
35.22,0.355258157
36.27,0.402858157
37.22,0.450658157
38.17,0.501058157
38.96,0.550458157
39.42,0.602558157
40.1,0.657958157
39.95,0.692958157
39.27,0.697558157
36.68,0.890529015
37.02,0.892103687
36.8,0.890477302
