u [mm]	Fh [kN]
0.0	0.0
0.516802241	31.62
0.525519361	30.55
0.173718357	0.7747
-0.472186457	-23.35
-0.480200021	-22.6
0.04170142	0.6831
0.462463206	28.55
0.15142452	-0.1721
-0.437486564	-22.62
-0.439948727	-22.34
0.303505301	0.2549
-0.936064689	-27.91
-0.930467043	-28.4
0.020074737	0.1247
0.814895579	36.26
0.817936504	35.75
0.265899573	0.1935
-1.080277469	-29.75
-0.007275849	-0.1169
1.226744048	43.27
1.275382621	42.46
0.443493121	0.1794
-2.350421413	-40.5
-2.396122461	-39.54
-0.49163465	-0.06172
0.943130533	36.79
0.252187493	-0.4391
-2.491471671	-38.85
-0.554710014	-0.6992
1.424995862	43.84
1.425404861	42.19
0.408745722	-0.4677
-3.104637356	-40.64
-4.1643922	-37.71
-1.675306201	-0.4385
1.174258681	40.87
0.159800342	-0.4505
-4.164712258	-35.26
-4.207173763	-34.33
-1.666104739	0.4906
1.424677525	41.59
2.202277246	39.98
0.720875575	-0.00391
-5.220365976	-34.97
-5.394288596	-33.87
-2.433092395	-0.1148
1.751291574	36.98
1.8146441	36.6
0.29018656	-0.01823
-5.220410983	-32.72
-5.340186814	-32.59
-2.576140417	-0.4208
2.512872791	37.76
2.680132631	37.33
0.758745717	0.4273
-6.275531508	-32.88
-6.530263267	-31.84
-3.267825996	-0.0125
2.593707099	34.56
2.636160196	33.96
0.664674451	-0.5146
-6.528312002	-30.39
-6.651952547	-29.45
-3.620457592	-0.7263
3.285550059	33.9
3.616775238	32.75
1.35232676	-0.4461
-7.303051253	-28.63
-7.906913687	-28.12
-4.75715582	-0.6133
3.571916679	32.03
3.7290748	31.25
1.229132842	-0.1224
-7.751786173	-27.03
-7.864310253	-26.99
-4.575801103	0.5839
5.398484156	32.23
5.854247419	31.39
2.398622132	-0.08333
-8.759357599	-26.55
-9.808885616	-25.76
-5.786579408	0.5237
5.804072302	29.5
5.930047558	29.03
1.898963494	0.3688
-9.440598226	-25.75
-9.607640105	-25.23
-5.191583306	-0.5133
7.303202171	28.7
7.704719983	27.24
2.867352116	-0.2846
-10.21338903	-25.28
-11.14986413	-24.67
-5.835332298	-0.0349
6.681354434	25.85
7.636077886	24.55
2.969930096	-0.1383
-10.5215425	-23.55
-10.79586828	-23.45
-5.105649296	-0.4159
9.210555415	23.9
4.734737469	-0.1846
-11.06730886	-22.21
-12.18784639	-21.67
-5.269058288	0.05755
8.996344755	20.94
9.084541405	20.11
4.481156517	0.075
-11.48368685	-19.64
-11.85245388	-19.36
-5.141923811	0.03047
10.75117574	19.22
12.45624743	19.18
7.428029272	-0.325
-9.162531358	-17.71
-15.05907463	-16.4
-7.364585643	0.05599
12.09141232	15.22
12.59245567	14.85
8.328748824	-0.2508
-12.42585223	-15.76
-14.88741262	-14.45
-8.260358435	0.0599
15.21311628	13.6
15.80332587	12.23
11.94499091	0.1411
-14.70307504	-12.5
-18.80690618	-11.6
-12.15846316	-0.1169
15.14362539	10.23
11.42201689	-0.05807
-14.21796333	-8.88
-21.49384797	-3.885
