u [mm],Fh [kN],time [s]
0,0,0
0.445545837,21.83,0
0.192228316,0.3776,26
-0.44632078,-29.33,26
-0.465193041,-27.54,26
-0.112149123,0.3531,62
0.413907757,23.65,62
0.08521365,0.3135,96
-0.430853628,-28.11,96
-0.081181416,-0.06953,129
0.814377886,34.24,129
0.822970594,34.01,129
0.240302345,-0.4721,174
-0.787016657,-41.94,174
-0.820022851,-41.38,174
-0.197072381,-0.4596,228
0.817437975,35.19,228
0.180802632,-0.3685,283
-0.797136759,-40.64,283
-0.133578899,0.4195,338
1.693839178,48.8,338
0.601863118,-0.2831,412
-1.80355957,-51.36,412
-1.858139937,-50.96,412
-0.628836847,0.0401,507
1.688721454,49.71,507
0.467046441,0.04896,602
-1.774265731,-49.18,602
-0.507712393,0.3083,695
2.555835008,54.27,695
2.607948261,53.37,695
0.862139632,-0.3771,752
-2.596919149,-51.77,752
-2.674119128,-50.8,752
-0.926375725,0.437,817
2.587708664,51.74,817
0.614986765,-0.2089,881
-2.766729968,-49.34,881
-0.978322834,0.1185,946
3.330039217,52.86,946
3.402441677,52.63,946
0.802520886,-0.5487,1019
-3.540596326,-49.44,1019
-1.502542497,0.2273,1099
3.372258188,49.84,1099
0.574716515,0.1839,1179
-3.460668327,-46.15,1179
-3.557377266,-45.8,1179
-1.414409928,0.1297,1258
4.265603489,50.1,1258
0.988445929,0.762,1317
-4.317890326,-46.2,1317
-4.46704704,-45.59,1317
-1.939549835,-0.1328,1381
4.250961086,47.07,1381
0.828468274,0.08854,1445
-4.375585403,-43.18,1445
-4.431085195,-41.94,1445
-1.707835494,0.924,1509
4.948550424,46.69,1509
5.110571353,46.01,1509
1.192532543,-0.5557,1561
-5.154069489,-42.55,1561
-5.32049275,-41.68,1561
-2.232779445,-0.01432,1619
5.074352084,43.6,1619
5.132056903,42.93,1619
1.179225908,-0.07526,1676
-5.202223723,-39.61,1676
-5.39944313,-39.05,1676
-2.150176895,0.2279,1734
6.860291358,43.29,1734
2.310790122,0.3805,1782
-6.869805454,-39.85,1782
-7.151426087,-38.59,1782
-3.186708026,-0.5508,1841
6.66716072,38.99,1841
6.771082207,38.58,1841
2.200634674,-0.188,1899
-6.990480117,-36.78,1899
-3.006067546,-0.2078,1959
8.206304134,37.1,1959
8.300102325,35.84,1959
3.684539668,-0.00651,2016
-8.652551141,-36.31,2016
-8.909881152,-35.77,2016
-3.718694193,-0.06563,2077
8.096182532,33.4,2077
3.82779803,0.2797,2136
-8.786268023,-33.63,2136
-3.586030852,0.4159,2196
9.801780884,33.37,2196
5.379572095,0.1956,2253
-10.47662166,-32.92,2253
-10.85882588,-32.65,2253
-4.962850044,0.4461,2314
9.694946297,30.42,2314
5.201825677,-0.03333,2374
-10.57684389,-30.17,2374
-5.371153809,0.2388,2434
13.33115383,30.39,2434
13.51472823,29.75,2434
8.268775454,-0.512,2497
-13.06902861,-28.25,2497
-13.37977513,-27.04,2497
-7.573779163,0.3641,2566
9.420785987,26.38,2566
22.07440283,7.647,2566
