image_names,u [mm],Fh [kN]
LS01_to_LS02_RS3_0000,0,0
LS01_to_LS02_RS3_0010,8.19E-05,1.5
LS01_to_LS02_RS3_0011,0.01414173,3.326
LS01_to_LS02_RS3_0012,0.033498403,4.96
LS01_to_LS02_RS3_0013,0.053455666,6.47
LS01_to_LS02_RS3_0014,0.076255134,7.943
LS01_to_LS02_RS3_0015,0.099151236,9.353
LS01_to_LS02_RS3_0016,0.129340812,10.75
LS01_to_LS02_RS3_0017,0.158434261,12.12
LS01_to_LS02_RS3_0018,0.19766774,13.45
LS01_to_LS02_RS3_0019,0.229552943,14.71
LS01_to_LS02_RS3_0020,0.262882528,15.94
LS01_to_LS02_RS3_0021,0.297903697,17.13
LS01_to_LS02_RS3_0022,0.337043553,18.29
LS01_to_LS02_RS3_0023,0.36424508,19.38
LS01_to_LS02_RS3_0024,0.388378441,20.44
LS01_to_LS02_RS3_0025,0.431494712,21.26
LS01_to_LS02_RS3_0026,0.445545837,21.83
LS02_to_LS03_RS3_0000,0.467177266,20.33
LS02_to_LS03_RS3_0001,0.453169759,18.62
LS02_to_LS03_RS3_0002,0.426539597,16.15
LS02_to_LS03_RS3_0003,0.400278031,14.02
LS02_to_LS03_RS3_0004,0.378522859,12.08
LS02_to_LS03_RS3_0005,0.34144743,10.22
LS02_to_LS03_RS3_0006,0.321296667,8.401
LS02_to_LS03_RS3_0007,0.286862185,6.645
LS02_to_LS03_RS3_0008,0.262309636,4.822
LS02_to_LS03_RS3_0009,0.237013866,3.135
LS02_to_LS03_RS3_0010,0.210587027,1.646
LS02_to_LS03_RS3_0011,0.192228316,0.3776
LS02_to_LS03_RS3_0012,0.173193869,-0.8724
LS02_to_LS03_RS3_0013,0.154096715,-2.077
LS02_to_LS03_RS3_0014,0.132676193,-3.135
LS02_to_LS03_RS3_0015,0.114575213,-4.48
LS02_to_LS03_RS3_0016,0.091579285,-5.902
LS02_to_LS03_RS3_0017,0.063921201,-7.411
LS02_to_LS03_RS3_0018,0.031841055,-8.78
LS02_to_LS03_RS3_0019,0.010543135,-10.23
LS02_to_LS03_RS3_0020,-0.022748705,-11.65
LS02_to_LS03_RS3_0021,-0.043823348,-13.07
LS02_to_LS03_RS3_0022,-0.075879809,-14.45
LS02_to_LS03_RS3_0023,-0.106748368,-15.83
LS02_to_LS03_RS3_0024,-0.138149106,-17.21
LS02_to_LS03_RS3_0025,-0.169455968,-18.61
LS02_to_LS03_RS3_0026,-0.209665923,-20.01
LS02_to_LS03_RS3_0027,-0.241006733,-21.37
LS02_to_LS03_RS3_0028,-0.27685947,-22.78
LS02_to_LS03_RS3_0029,-0.306361148,-24.16
LS02_to_LS03_RS3_0030,-0.345464498,-25.5
LS02_to_LS03_RS3_0031,-0.378861806,-26.85
LS02_to_LS03_RS3_0032,-0.415245898,-28.13
LS02_to_LS03_RS3_0033,-0.44632078,-29.33
LS02_to_LS03_RS3_0034,-0.454786005,-28.91
LS02_to_LS03_RS3_0035,-0.458558516,-28.74
LS02_to_LS03_RS3_0036,-0.465193041,-27.54
LS03_to_LS04_RS3_0000,-0.470266416,-27.39
LS03_to_LS04_RS3_0001,-0.470382624,-27.42
LS03_to_LS04_RS3_0002,-0.446453195,-25
LS03_to_LS04_RS3_0003,-0.428000945,-21.32
LS03_to_LS04_RS3_0004,-0.399786507,-19.14
LS03_to_LS04_RS3_0005,-0.3731092,-16.85
LS03_to_LS04_RS3_0006,-0.341392445,-14.66
LS03_to_LS04_RS3_0007,-0.318361593,-12.54
LS03_to_LS04_RS3_0008,-0.289438469,-10.54
LS03_to_LS04_RS3_0009,-0.263211512,-8.715
LS03_to_LS04_RS3_0010,-0.237762741,-6.999
LS03_to_LS04_RS3_0011,-0.208790955,-5.416
LS03_to_LS04_RS3_0012,-0.180076446,-3.893
LS03_to_LS04_RS3_0013,-0.155030809,-2.418
LS03_to_LS04_RS3_0014,-0.138338191,-0.9893
LS03_to_LS04_RS3_0015,-0.112149123,0.3531
LS03_to_LS04_RS3_0016,-0.092110234,1.589
LS03_to_LS04_RS3_0017,-0.077214679,2.389
LS03_to_LS04_RS3_0018,-0.050988005,3.501
LS03_to_LS04_RS3_0019,-0.02890462,4.714
LS03_to_LS04_RS3_0020,-0.009056023,5.98
LS03_to_LS04_RS3_0021,0.010444269,7.239
LS03_to_LS04_RS3_0022,0.042714935,8.558
LS03_to_LS04_RS3_0023,0.064887177,9.901
LS03_to_LS04_RS3_0024,0.094699167,11.25
LS03_to_LS04_RS3_0025,0.126606893,12.61
LS03_to_LS04_RS3_0026,0.160792273,13.96
LS03_to_LS04_RS3_0027,0.183986911,15.3
LS03_to_LS04_RS3_0028,0.220174631,16.65
LS03_to_LS04_RS3_0029,0.256113626,17.94
LS03_to_LS04_RS3_0030,0.280701023,19.19
LS03_to_LS04_RS3_0031,0.325807831,20.45
LS03_to_LS04_RS3_0032,0.349047628,21.63
LS03_to_LS04_RS3_0033,0.387832595,22.73
LS03_to_LS04_RS3_0034,0.413907757,23.65
LS03_to_LS04_RS3_0035,0.41228751,23.64
LS04_to_LS05_RS3_0000,0.413460208,21.72
LS04_to_LS05_RS3_0001,0.41764949,21.03
LS04_to_LS05_RS3_0002,0.391059561,18.62
LS04_to_LS05_RS3_0003,0.363921966,16.49
LS04_to_LS05_RS3_0004,0.332838482,14.57
LS04_to_LS05_RS3_0005,0.308040131,12.76
LS04_to_LS05_RS3_0006,0.2758764,11
LS04_to_LS05_RS3_0007,0.251836602,9.304
LS04_to_LS05_RS3_0008,0.220670355,7.635
LS04_to_LS05_RS3_0009,0.191511777,5.982
LS04_to_LS05_RS3_0010,0.16084107,4.32
LS04_to_LS05_RS3_0011,0.136970975,2.812
LS04_to_LS05_RS3_0012,0.111762602,1.498
LS04_to_LS05_RS3_0013,0.08521365,0.3135
LS04_to_LS05_RS3_0014,0.072950615,-0.8432
LS04_to_LS05_RS3_0015,0.054181386,-1.979
LS04_to_LS05_RS3_0016,0.031930471,-2.999
LS04_to_LS05_RS3_0017,0.01316246,-4.257
LS04_to_LS05_RS3_0018,-0.009640314,-5.639
LS04_to_LS05_RS3_0019,-0.037463083,-7.085
LS04_to_LS05_RS3_0020,-0.060471304,-8.564
LS04_to_LS05_RS3_0021,-0.083800962,-10.08
LS04_to_LS05_RS3_0022,-0.109127428,-11.62
LS04_to_LS05_RS3_0023,-0.137860329,-13.14
LS04_to_LS05_RS3_0024,-0.169549149,-14.72
LS04_to_LS05_RS3_0025,-0.200792819,-16.31
LS04_to_LS05_RS3_0026,-0.226399903,-18
LS04_to_LS05_RS3_0027,-0.256690156,-19.66
LS04_to_LS05_RS3_0028,-0.285983143,-21.26
LS04_to_LS05_RS3_0029,-0.325011703,-23.1
LS04_to_LS05_RS3_0030,-0.353365515,-24.75
LS04_to_LS05_RS3_0031,-0.384209759,-26.47
LS04_to_LS05_RS3_0032,-0.40914026,-28.07
LS04_to_LS05_RS3_0033,-0.430853628,-28.11
LS05_to_LS06_RS3_0000,-0.435109769,-27.31
LS05_to_LS06_RS3_0001,-0.443127338,-26.67
LS05_to_LS06_RS3_0002,-0.430973204,-25.24
LS05_to_LS06_RS3_0003,-0.393923029,-22.89
LS05_to_LS06_RS3_0004,-0.373894449,-19.62
LS05_to_LS06_RS3_0005,-0.339729894,-17.5
LS05_to_LS06_RS3_0006,-0.316893994,-15.25
LS05_to_LS06_RS3_0007,-0.292544693,-13.18
LS05_to_LS06_RS3_0008,-0.266478172,-11.15
LS05_to_LS06_RS3_0009,-0.239401829,-9.245
LS05_to_LS06_RS3_0010,-0.20740099,-7.484
LS05_to_LS06_RS3_0011,-0.181931615,-5.823
LS05_to_LS06_RS3_0012,-0.153164202,-4.288
LS05_to_LS06_RS3_0013,-0.129437584,-2.841
LS05_to_LS06_RS3_0014,-0.107356265,-1.448
LS05_to_LS06_RS3_0015,-0.081181416,-0.06953
LS05_to_LS06_RS3_0016,-0.059044244,1.201
LS05_to_LS06_RS3_0017,-0.044434988,2.114
LS05_to_LS06_RS3_0018,-0.02607577,3.164
LS05_to_LS06_RS3_0019,-0.004933664,4.369
LS05_to_LS06_RS3_0020,0.020237657,5.627
LS05_to_LS06_RS3_0021,0.040809924,6.915
LS05_to_LS06_RS3_0022,0.072407945,8.216
LS05_to_LS06_RS3_0023,0.098957389,9.58
LS05_to_LS06_RS3_0024,0.113944506,10.98
LS05_to_LS06_RS3_0025,0.146373878,12.37
LS05_to_LS06_RS3_0026,0.175989126,13.78
LS05_to_LS06_RS3_0027,0.212266184,15.17
LS05_to_LS06_RS3_0028,0.24167606,16.57
LS05_to_LS06_RS3_0029,0.274804846,17.96
LS05_to_LS06_RS3_0030,0.305573364,19.34
LS05_to_LS06_RS3_0031,0.331280816,20.7
LS05_to_LS06_RS3_0032,0.36427492,21.98
LS05_to_LS06_RS3_0033,0.400162305,23.41
LS05_to_LS06_RS3_0034,0.434847328,24.62
LS05_to_LS06_RS3_0035,0.463990459,25.78
LS05_to_LS06_RS3_0036,0.497740042,26.89
LS05_to_LS06_RS3_0037,0.531917698,27.93
LS05_to_LS06_RS3_0038,0.569347319,28.94
LS05_to_LS06_RS3_0039,0.60569823,29.92
LS05_to_LS06_RS3_0040,0.645486837,30.85
LS05_to_LS06_RS3_0041,0.687308561,31.75
LS05_to_LS06_RS3_0042,0.724812456,32.61
LS05_to_LS06_RS3_0043,0.764795333,33.43
LS05_to_LS06_RS3_0044,0.814377886,34.24
LS05_to_LS06_RS3_0045,0.822970594,34.01
LS06_to_LS07_RS3_0000,0.847968354,32.35
LS06_to_LS07_RS3_0001,0.835234907,30
LS06_to_LS07_RS3_0002,0.798371354,27.78
LS06_to_LS07_RS3_0003,0.762965904,25.77
LS06_to_LS07_RS3_0004,0.735427297,23.93
LS06_to_LS07_RS3_0005,0.701009439,22.19
LS06_to_LS07_RS3_0006,0.67011745,20.41
LS06_to_LS07_RS3_0007,0.640183278,18.91
LS06_to_LS07_RS3_0008,0.611406698,17.34
LS06_to_LS07_RS3_0009,0.580492327,15.8
LS06_to_LS07_RS3_0010,0.549408205,14.29
LS06_to_LS07_RS3_0011,0.514457283,12.83
LS06_to_LS07_RS3_0012,0.487804637,11.37
LS06_to_LS07_RS3_0013,0.459271567,9.945
LS06_to_LS07_RS3_0014,0.430333024,8.544
LS06_to_LS07_RS3_0015,0.399081049,7.152
LS06_to_LS07_RS3_0016,0.36950555,5.724
LS06_to_LS07_RS3_0017,0.340421284,4.241
LS06_to_LS07_RS3_0018,0.308971845,2.893
LS06_to_LS07_RS3_0019,0.288162164,1.685
LS06_to_LS07_RS3_0020,0.264248245,0.6091
LS06_to_LS07_RS3_0021,0.240302345,-0.4721
LS06_to_LS07_RS3_0022,0.21396788,-1.53
LS06_to_LS07_RS3_0023,0.19536457,-2.465
LS06_to_LS07_RS3_0024,0.169029516,-3.481
LS06_to_LS07_RS3_0025,0.141198205,-4.669
LS06_to_LS07_RS3_0026,0.123403134,-5.959
LS06_to_LS07_RS3_0027,0.093463687,-7.23
LS06_to_LS07_RS3_0028,0.068479981,-8.535
LS06_to_LS07_RS3_0029,0.037004847,-9.934
LS06_to_LS07_RS3_0030,0.011686525,-11.32
LS06_to_LS07_RS3_0031,-0.017046808,-12.75
LS06_to_LS07_RS3_0032,-0.044397834,-14.15
LS06_to_LS07_RS3_0033,-0.074472035,-15.59
LS06_to_LS07_RS3_0034,-0.104988202,-17.09
LS06_to_LS07_RS3_0035,-0.134806831,-18.62
LS06_to_LS07_RS3_0036,-0.17078864,-20.23
LS06_to_LS07_RS3_0037,-0.200315109,-21.9
LS06_to_LS07_RS3_0038,-0.232931597,-23.39
LS06_to_LS07_RS3_0039,-0.2669211,-24.99
LS06_to_LS07_RS3_0040,-0.297202141,-26.57
LS06_to_LS07_RS3_0041,-0.334457971,-28.05
LS06_to_LS07_RS3_0042,-0.367049743,-29.48
LS06_to_LS07_RS3_0043,-0.397598052,-30.87
LS06_to_LS07_RS3_0044,-0.429646338,-32.21
LS06_to_LS07_RS3_0045,-0.466506176,-33.53
LS06_to_LS07_RS3_0046,-0.498813359,-34.78
LS06_to_LS07_RS3_0047,-0.540301101,-35.97
LS06_to_LS07_RS3_0048,-0.579005418,-37.12
LS06_to_LS07_RS3_0049,-0.623833968,-38.22
LS06_to_LS07_RS3_0050,-0.663972196,-39.18
LS06_to_LS07_RS3_0051,-0.707508283,-40.09
LS06_to_LS07_RS3_0052,-0.752484984,-41.04
LS06_to_LS07_RS3_0053,-0.787016657,-41.94
LS06_to_LS07_RS3_0054,-0.820022851,-41.38
LS06_to_LS07_RS3_0055,-0.815936808,-41.46
LS07_to_LS08_RS3_0001,-0.844487482,-39.23
LS07_to_LS08_RS3_0002,-0.811903974,-36.44
LS07_to_LS08_RS3_0003,-0.779830771,-33.81
LS07_to_LS08_RS3_0004,-0.755613374,-31.37
LS07_to_LS08_RS3_0005,-0.717534079,-29.13
LS07_to_LS08_RS3_0006,-0.6898352,-27.03
LS07_to_LS08_RS3_0007,-0.661413378,-25.02
LS07_to_LS08_RS3_0008,-0.628444459,-23.11
LS07_to_LS08_RS3_0009,-0.601868866,-21.31
LS07_to_LS08_RS3_0010,-0.565003006,-19.63
LS07_to_LS08_RS3_0011,-0.537371186,-17.8
LS07_to_LS08_RS3_0012,-0.501894933,-16.1
LS07_to_LS08_RS3_0013,-0.485890236,-14.41
LS07_to_LS08_RS3_0014,-0.442606528,-12.74
LS07_to_LS08_RS3_0015,-0.414728937,-11.13
LS07_to_LS08_RS3_0016,-0.390182174,-9.59
LS07_to_LS08_RS3_0017,-0.355956929,-8.124
LS07_to_LS08_RS3_0018,-0.330088174,-6.778
LS07_to_LS08_RS3_0019,-0.302040435,-5.505
LS07_to_LS08_RS3_0020,-0.27670303,-4.206
LS07_to_LS08_RS3_0021,-0.25259269,-2.909
LS07_to_LS08_RS3_0022,-0.221940358,-1.67
LS07_to_LS08_RS3_0023,-0.197072381,-0.4596
LS07_to_LS08_RS3_0024,-0.168204695,0.7128
LS07_to_LS08_RS3_0025,-0.143047135,1.729
LS07_to_LS08_RS3_0026,-0.126129756,2.508
LS07_to_LS08_RS3_0027,-0.109497675,3.528
LS07_to_LS08_RS3_0028,-0.077766445,4.639
LS07_to_LS08_RS3_0029,-0.055641774,5.804
LS07_to_LS08_RS3_0030,-0.02370337,6.941
LS07_to_LS08_RS3_0031,0.003300231,8.079
LS07_to_LS08_RS3_0032,0.030206393,9.281
LS07_to_LS08_RS3_0033,0.063756673,10.51
LS07_to_LS08_RS3_0034,0.093613124,11.72
LS07_to_LS08_RS3_0035,0.121431594,12.94
LS07_to_LS08_RS3_0036,0.159494615,14.17
LS07_to_LS08_RS3_0037,0.198177199,15.41
LS07_to_LS08_RS3_0038,0.232436151,16.64
LS07_to_LS08_RS3_0039,0.26194428,17.83
LS07_to_LS08_RS3_0040,0.295241509,19.06
LS07_to_LS08_RS3_0041,0.331591541,20.27
LS07_to_LS08_RS3_0042,0.36439924,21.49
LS07_to_LS08_RS3_0043,0.403563647,22.71
LS07_to_LS08_RS3_0044,0.429270022,23.92
LS07_to_LS08_RS3_0045,0.461423628,25.14
LS07_to_LS08_RS3_0046,0.501054469,26.34
LS07_to_LS08_RS3_0047,0.53189386,27.52
LS07_to_LS08_RS3_0048,0.570979991,28.71
LS07_to_LS08_RS3_0049,0.609074138,29.87
LS07_to_LS08_RS3_0050,0.641255529,30.98
LS07_to_LS08_RS3_0051,0.690208716,32.09
LS07_to_LS08_RS3_0052,0.725278917,33.14
LS07_to_LS08_RS3_0053,0.757477995,34.17
LS07_to_LS08_RS3_0054,0.798202142,35.13
LS07_to_LS08_RS3_0055,0.817437975,35.19
LS08_to_LS09_RS3_0001,0.831316575,33.22
LS08_to_LS09_RS3_0002,0.83309728,33.19
