load_step_names,image_names,Fh [kN],u [mm],Fv_total [kN],Fv_s [kN],Fv_n [kN],lv1 [mm],lv2 [mm],lv3 [mm],lv4 [mm],lv5 [mm],lv6 [mm],lv7 [mm],lv8 [mm],lv9 [mm],lv10 [mm],lv11 [mm],lv12 [mm],lv13 [mm],lv14 [mm]
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0000,0.6526,NaN,-10.49,-5.531,-4.959,0.00031,-0.00847,0.00034,0.00047,0,0,0,-0.00028,0,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0001,0.6615,NaN,-10.401,-5.499,-4.902,0.00029,-0.00851,0.00038,-0.00033,0,0,-0.00012,-0.00033,0.00032,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0002,0.7247,NaN,-9.406,-5.101,-4.305,0.00034,-0.00844,0.00054,0.00111,0,0,-0.00014,-0.00031,0.00037,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0003,0.7367,NaN,-9.835,-5.331,-4.504,0.00036,-0.00842,0.00059,-0.00116,0,0,-0.00014,-0.0003,0.00035,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0004,0.7721,NaN,-9.969,-5.423,-4.546,0.00026,-0.00852,0.00051,-0.00074,0,0,-0.0001,-0.00029,0.00028,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0005,0.7417,NaN,-10.085,-5.439,-4.646,0.00031,-0.00841,0.00059,-0.0002,0,0,-0.00013,-0.0003,0.0003,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0006,0.7219,NaN,-9.333,-5.047,-4.286,0.00028,-0.00851,0.00054,0.00049,0,0,-0.0001,-0.00034,0.00028,0,0,0,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0007,0.525,NaN,-4.267,-2.48,-1.787,0.00011,-0.00864,0.01889,0.01547,-0.00068,0,-0.00024,-0.00038,0.00121,0,0,-0.0001,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0008,0.2143,NaN,-2.99,-1.563,-1.427,0,-0.00946,0.02085,0.03715,-0.00086,0,-0.00023,-0.00049,0.00152,0,0,-0.00076,0,0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0009,0.3112,NaN,-3.032,-1.685,-1.347,0.00021,-0.00929,0.02139,0.03519,-0.00102,0.00014,-0.00027,-0.00064,0.00158,0,0,-0.00075,0,0
