image_names,u [mm],Fh [kN],times(s)
LS01_to_LS02_RS3_0000,0.0,0.0,0
LS01_to_LS02_RS3_0010,8.19e-05,1.5,10
LS01_to_LS02_RS3_0011,0.01414173,3.326,11
LS01_to_LS02_RS3_0012,0.033498403,4.96,12
LS01_to_LS02_RS3_0013,0.053455666,6.47,13
LS01_to_LS02_RS3_0014,0.076255134,7.943,14
LS01_to_LS02_RS3_0015,0.099151236,9.353,15
LS01_to_LS02_RS3_0016,0.129340812,10.75,16
LS01_to_LS02_RS3_0017,0.158434261,12.12,17
LS01_to_LS02_RS3_0018,0.19766774,13.45,18
LS01_to_LS02_RS3_0019,0.229552943,14.71,19
LS01_to_LS02_RS3_0020,0.262882528,15.94,20
LS01_to_LS02_RS3_0021,0.297903697,17.13,21
LS01_to_LS02_RS3_0022,0.337043553,18.29,22
LS01_to_LS02_RS3_0023,0.36424508,19.38,23
LS01_to_LS02_RS3_0024,0.388378441,20.44,24
LS01_to_LS02_RS3_0025,0.431494712,21.26,25
LS01_to_LS02_RS3_0026,0.445545837,21.83,26
LS02_to_LS03_RS3_0000,0.467177266,20.33,26
LS02_to_LS03_RS3_0001,0.453169759,18.62,27
LS02_to_LS03_RS3_0002,0.426539597,16.15,28
LS02_to_LS03_RS3_0003,0.400278031,14.02,29
LS02_to_LS03_RS3_0004,0.378522859,12.08,30
LS02_to_LS03_RS3_0005,0.34144743,10.22,31
LS02_to_LS03_RS3_0006,0.321296667,8.401,32
LS02_to_LS03_RS3_0007,0.286862185,6.645,33
LS02_to_LS03_RS3_0008,0.262309636,4.822,34
LS02_to_LS03_RS3_0009,0.237013866,3.135,35
LS02_to_LS03_RS3_0010,0.210587027,1.646,36
LS02_to_LS03_RS3_0011,0.192228316,0.3776,37
LS02_to_LS03_RS3_0012,0.173193869,-0.8724,38
LS02_to_LS03_RS3_0013,0.154096715,-2.077,39
LS02_to_LS03_RS3_0014,0.132676193,-3.135,40
LS02_to_LS03_RS3_0015,0.114575213,-4.48,41
LS02_to_LS03_RS3_0016,0.091579285,-5.902,42
LS02_to_LS03_RS3_0017,0.063921201,-7.411,43
LS02_to_LS03_RS3_0018,0.031841055,-8.78,44
LS02_to_LS03_RS3_0019,0.010543135,-10.23,45
LS02_to_LS03_RS3_0020,-0.022748705,-11.65,46
LS02_to_LS03_RS3_0021,-0.043823348,-13.07,47
LS02_to_LS03_RS3_0022,-0.075879809,-14.45,48
LS02_to_LS03_RS3_0023,-0.106748368,-15.83,49
LS02_to_LS03_RS3_0024,-0.138149106,-17.21,50
LS02_to_LS03_RS3_0025,-0.169455968,-18.61,51
LS02_to_LS03_RS3_0026,-0.209665923,-20.01,52
LS02_to_LS03_RS3_0027,-0.241006733,-21.37,53
LS02_to_LS03_RS3_0028,-0.27685947,-22.78,54
LS02_to_LS03_RS3_0029,-0.306361148,-24.16,55
LS02_to_LS03_RS3_0030,-0.345464498,-25.5,56
LS02_to_LS03_RS3_0031,-0.378861806,-26.85,57
LS02_to_LS03_RS3_0032,-0.415245898,-28.13,58
LS02_to_LS03_RS3_0033,-0.44632078,-29.33,59
LS02_to_LS03_RS3_0034,-0.454786005,-28.91,60
LS02_to_LS03_RS3_0035,-0.458558516,-28.74,61
LS02_to_LS03_RS3_0036,-0.465193041,-27.54,62
LS03_to_LS04_RS3_0000,-0.470266416,-27.39,62
LS03_to_LS04_RS3_0001,-0.470382624,-27.42,63
LS03_to_LS04_RS3_0002,-0.446453195,-25.0,64
LS03_to_LS04_RS3_0003,-0.428000945,-21.32,65
LS03_to_LS04_RS3_0004,-0.399786507,-19.14,66
LS03_to_LS04_RS3_0005,-0.3731092,-16.85,67
LS03_to_LS04_RS3_0006,-0.341392445,-14.66,68
LS03_to_LS04_RS3_0007,-0.318361593,-12.54,69
LS03_to_LS04_RS3_0008,-0.289438469,-10.54,70
LS03_to_LS04_RS3_0009,-0.263211512,-8.715,71
LS03_to_LS04_RS3_0010,-0.237762741,-6.999,72
LS03_to_LS04_RS3_0011,-0.208790955,-5.416,73
LS03_to_LS04_RS3_0012,-0.180076446,-3.893,74
LS03_to_LS04_RS3_0013,-0.155030809,-2.418,75
LS03_to_LS04_RS3_0014,-0.138338191,-0.9893,76
LS03_to_LS04_RS3_0015,-0.112149123,0.3531,77
LS03_to_LS04_RS3_0016,-0.092110234,1.589,78
LS03_to_LS04_RS3_0017,-0.077214679,2.389,79
LS03_to_LS04_RS3_0018,-0.050988005,3.501,80
LS03_to_LS04_RS3_0019,-0.02890462,4.714,81
LS03_to_LS04_RS3_0020,-0.009056023,5.98,82
LS03_to_LS04_RS3_0021,0.010444269,7.239,83
LS03_to_LS04_RS3_0022,0.042714935,8.558,84
LS03_to_LS04_RS3_0023,0.064887177,9.901,85
LS03_to_LS04_RS3_0024,0.094699167,11.25,86
LS03_to_LS04_RS3_0025,0.126606893,12.61,87
LS03_to_LS04_RS3_0026,0.160792273,13.96,88
LS03_to_LS04_RS3_0027,0.183986911,15.3,89
LS03_to_LS04_RS3_0028,0.220174631,16.65,90
LS03_to_LS04_RS3_0029,0.256113626,17.94,91
LS03_to_LS04_RS3_0030,0.280701023,19.19,92
LS03_to_LS04_RS3_0031,0.325807831,20.45,93
LS03_to_LS04_RS3_0032,0.349047628,21.63,94
LS03_to_LS04_RS3_0033,0.387832595,22.73,95
LS03_to_LS04_RS3_0034,0.413907757,23.65,96
LS03_to_LS04_RS3_0035,0.41228751,23.64,97
LS04_to_LS05_RS3_0000,0.413460208,21.72,97
LS04_to_LS05_RS3_0001,0.41764949,21.03,98
LS04_to_LS05_RS3_0002,0.391059561,18.62,99
LS04_to_LS05_RS3_0003,0.363921966,16.49,100
LS04_to_LS05_RS3_0004,0.332838482,14.57,101
LS04_to_LS05_RS3_0005,0.308040131,12.76,102
LS04_to_LS05_RS3_0006,0.2758764,11.0,103
LS04_to_LS05_RS3_0007,0.251836602,9.304,104
LS04_to_LS05_RS3_0008,0.220670355,7.635,105
LS04_to_LS05_RS3_0009,0.191511777,5.982,106
LS04_to_LS05_RS3_0010,0.16084107,4.32,107
LS04_to_LS05_RS3_0011,0.136970975,2.812,108
LS04_to_LS05_RS3_0012,0.111762602,1.498,109
LS04_to_LS05_RS3_0013,0.08521365,0.3135,110
LS04_to_LS05_RS3_0014,0.072950615,-0.8432,111
LS04_to_LS05_RS3_0015,0.054181386,-1.979,112
LS04_to_LS05_RS3_0016,0.031930471,-2.999,113
LS04_to_LS05_RS3_0017,0.01316246,-4.257,114
LS04_to_LS05_RS3_0018,-0.009640314,-5.639,115
LS04_to_LS05_RS3_0019,-0.037463083,-7.085,116
LS04_to_LS05_RS3_0020,-0.060471304,-8.564,117
LS04_to_LS05_RS3_0021,-0.083800962,-10.08,118
LS04_to_LS05_RS3_0022,-0.109127428,-11.62,119
LS04_to_LS05_RS3_0023,-0.137860329,-13.14,120
LS04_to_LS05_RS3_0024,-0.169549149,-14.72,121
LS04_to_LS05_RS3_0025,-0.200792819,-16.31,122
LS04_to_LS05_RS3_0026,-0.226399903,-18.0,123
LS04_to_LS05_RS3_0027,-0.256690156,-19.66,124
LS04_to_LS05_RS3_0028,-0.285983143,-21.26,125
LS04_to_LS05_RS3_0029,-0.325011703,-23.1,126
LS04_to_LS05_RS3_0030,-0.353365515,-24.75,127
LS04_to_LS05_RS3_0031,-0.384209759,-26.47,128
LS04_to_LS05_RS3_0032,-0.40914026,-28.07,129
LS04_to_LS05_RS3_0033,-0.430853628,-28.11,130
LS05_to_LS06_RS3_0000,-0.435109769,-27.31,130
LS05_to_LS06_RS3_0001,-0.443127338,-26.67,131
LS05_to_LS06_RS3_0002,-0.430973204,-25.24,132
LS05_to_LS06_RS3_0003,-0.393923029,-22.89,133
LS05_to_LS06_RS3_0004,-0.373894449,-19.62,134
LS05_to_LS06_RS3_0005,-0.339729894,-17.5,135
LS05_to_LS06_RS3_0006,-0.316893994,-15.25,136
LS05_to_LS06_RS3_0007,-0.292544693,-13.18,137
LS05_to_LS06_RS3_0008,-0.266478172,-11.15,138
LS05_to_LS06_RS3_0009,-0.239401829,-9.245,139
LS05_to_LS06_RS3_0010,-0.20740099,-7.484,140
LS05_to_LS06_RS3_0011,-0.181931615,-5.823,141
LS05_to_LS06_RS3_0012,-0.153164202,-4.288,142
LS05_to_LS06_RS3_0013,-0.129437584,-2.841,143
LS05_to_LS06_RS3_0014,-0.107356265,-1.448,144
LS05_to_LS06_RS3_0015,-0.081181416,-0.06953,145
LS05_to_LS06_RS3_0016,-0.059044244,1.201,146
LS05_to_LS06_RS3_0017,-0.044434988,2.114,147
LS05_to_LS06_RS3_0018,-0.02607577,3.164,148
LS05_to_LS06_RS3_0019,-0.004933664,4.369,149
LS05_to_LS06_RS3_0020,0.020237657,5.627,150
LS05_to_LS06_RS3_0021,0.040809924,6.915,151
LS05_to_LS06_RS3_0022,0.072407945,8.216,152
LS05_to_LS06_RS3_0023,0.098957389,9.58,153
LS05_to_LS06_RS3_0024,0.113944506,10.98,154
LS05_to_LS06_RS3_0025,0.146373878,12.37,155
LS05_to_LS06_RS3_0026,0.175989126,13.78,156
LS05_to_LS06_RS3_0027,0.212266184,15.17,157
LS05_to_LS06_RS3_0028,0.24167606,16.57,158
LS05_to_LS06_RS3_0029,0.274804846,17.96,159
LS05_to_LS06_RS3_0030,0.305573364,19.34,160
LS05_to_LS06_RS3_0031,0.331280816,20.7,161
LS05_to_LS06_RS3_0032,0.36427492,21.98,162
LS05_to_LS06_RS3_0033,0.400162305,23.41,163
LS05_to_LS06_RS3_0034,0.434847328,24.62,164
LS05_to_LS06_RS3_0035,0.463990459,25.78,165
LS05_to_LS06_RS3_0036,0.497740042,26.89,166
LS05_to_LS06_RS3_0037,0.531917698,27.93,167
LS05_to_LS06_RS3_0038,0.569347319,28.94,168
LS05_to_LS06_RS3_0039,0.60569823,29.92,169
LS05_to_LS06_RS3_0040,0.645486837,30.85,170
LS05_to_LS06_RS3_0041,0.687308561,31.75,171
LS05_to_LS06_RS3_0042,0.724812456,32.61,172
LS05_to_LS06_RS3_0043,0.764795333,33.43,173
LS05_to_LS06_RS3_0044,0.814377886,34.24,174
