image_names,cumulative deformation(mm),damage_index,times(s)
LS01_to_LS02_RS3_0000,0.0,1.0571770064014043,0
LS01_to_LS02_RS3_0010,8.19e-05,1.0571745804823718,10
LS01_to_LS02_RS3_0011,0.01414173,1.056760353738774,11
LS01_to_LS02_RS3_0012,0.033498403,1.0561973197862262,12
LS01_to_LS02_RS3_0013,0.053455666,1.0556255762174065,13
LS01_to_LS02_RS3_0014,0.076255134,1.0549832479036925,14
LS01_to_LS02_RS3_0015,0.099151236,1.054349781256056,15
LS01_to_LS02_RS3_0016,0.129340812,1.0535321820764578,16
LS01_to_LS02_RS3_0017,0.158434261,1.0527631668008086,17
LS01_to_LS02_RS3_0018,0.19766774,1.0517553053720359,18
LS01_to_LS02_RS3_0019,0.229552943,1.0509607319177223,19
LS01_to_LS02_RS3_0020,0.262882528,1.0501535023153235,20
LS01_to_LS02_RS3_0021,0.297903697,1.0493308301090591,21
LS01_to_LS02_RS3_0022,0.337043553,1.0484421344881245,22
LS01_to_LS02_RS3_0023,0.36424508,1.047843476770663,23
LS01_to_LS02_RS3_0024,0.388378441,1.0473252861300404,24
LS01_to_LS02_RS3_0025,0.431494712,1.0464295866989928,25
LS01_to_LS02_RS3_0026,0.445545837,1.0461459768165942,26
LS02_to_LS03_RS3_0000,0.467177266,1.0457172856369463,26
LS02_to_LS03_RS3_0001,0.48118477299999995,1.045444789909494,27
LS02_to_LS03_RS3_0002,0.507814935,1.0449377557700918,28
LS02_to_LS03_RS3_0003,0.5340765009999999,1.0444518128055047,29
LS02_to_LS03_RS3_0004,0.5558316729999999,1.0440597830453888,30
LS02_to_LS03_RS3_0005,0.5929071019999999,1.0434135270215583,31
LS02_to_LS03_RS3_0006,0.6130578649999998,1.04307376561859,32
LS02_to_LS03_RS3_0007,0.6474923469999998,1.0425117594179218,33
LS02_to_LS03_RS3_0008,0.6720448959999998,1.0421252792130336,34
LS02_to_LS03_RS3_0009,0.6973406659999999,1.041739423227933,35
LS02_to_LS03_RS3_0010,0.7237675049999999,1.0413495967254693,36
LS02_to_LS03_RS3_0011,0.7421262159999998,1.0410867323994084,37
LS02_to_LS03_RS3_0012,0.7611606629999998,1.0408210400140838,38
LS02_to_LS03_RS3_0013,0.7802578169999999,1.0405614479559375,39
LS02_to_LS03_RS3_0014,0.8016783389999999,1.0402785501458716,40
LS02_to_LS03_RS3_0015,0.8197793189999999,1.0400462843869211,41
LS02_to_LS03_RS3_0016,0.8427752469999998,1.0397601371493548,42
LS02_to_LS03_RS3_0017,0.8704333309999999,1.0394291433844733,43
LS02_to_LS03_RS3_0018,0.9025134769999998,1.0390631244602457,44
LS02_to_LS03_RS3_0019,0.9238113969999998,1.0388306742417297,45
LS02_to_LS03_RS3_0020,0.9571032369999998,1.0384840688362258,46
LS02_to_LS03_RS3_0021,0.9781778799999997,1.03827515445131,47
LS02_to_LS03_RS3_0022,1.0102343409999996,1.0379728726322366,48
LS02_to_LS03_RS3_0023,1.0411028999999996,1.0376993462589905,49
LS02_to_LS03_RS3_0024,1.0725036379999997,1.0374386407214191,50
LS02_to_LS03_RS3_0025,1.1038104999999998,1.0371961882338439,51
LS02_to_LS03_RS3_0026,1.1440204549999997,1.036910167318022,52
LS02_to_LS03_RS3_0027,1.1753612649999998,1.0367068584556514,53
LS02_to_LS03_RS3_0028,1.2112140019999997,1.0364951748195974,54
LS02_to_LS03_RS3_0029,1.2407156799999997,1.036337576382227,55
LS02_to_LS03_RS3_0030,1.2798190299999996,1.0361515609254397,56
LS02_to_LS03_RS3_0031,1.3132163379999997,1.0360131564377446,57
LS02_to_LS03_RS3_0032,1.3496004299999997,1.0358836346380407,58
LS02_to_LS03_RS3_0033,1.3806753119999997,1.0357904129841402,59
LS02_to_LS03_RS3_0034,1.3891405369999998,1.0357677779697927,60
LS02_to_LS03_RS3_0035,1.3929130479999998,1.0357580699294346,61
LS02_to_LS03_RS3_0036,1.3995475729999998,1.035741563073929,62
LS03_to_LS04_RS3_0000,1.4046209479999998,1.035729426806114,62
LS03_to_LS04_RS3_0001,1.404737156,1.0357291537526019,63
LS03_to_LS04_RS3_0002,1.428666585,1.035677621629217,64
LS03_to_LS04_RS3_0003,1.447118835,1.0356442412553215,65
LS03_to_LS04_RS3_0004,1.475333273,1.0356038357183164,66
LS03_to_LS04_RS3_0005,1.5020105799999999,1.0355773811098385,67
LS03_to_LS04_RS3_0006,1.5337273349999998,1.0355606730415248,68
LS03_to_LS04_RS3_0007,1.5567581869999998,1.0355585036441297,69
LS03_to_LS04_RS3_0008,1.5856813109999999,1.0355675614078965,70
LS03_to_LS04_RS3_0009,1.6119082679999999,1.0355870337801336,71
LS03_to_LS04_RS3_0010,1.6373570389999998,1.0356160880159544,72
LS03_to_LS04_RS3_0011,1.666328825,1.0356612524432285,73
LS03_to_LS04_RS3_0012,1.695043334,1.0357186154065572,74
LS03_to_LS04_RS3_0013,1.720088971,1.035778809912609,75
LS03_to_LS04_RS3_0014,1.736781589,1.035824150872408,76
LS03_to_LS04_RS3_0015,1.762970657,1.0359036482434545,77
LS03_to_LS04_RS3_0016,1.7830095460000002,1.0359713317742458,78
LS03_to_LS04_RS3_0017,1.7979051010000002,1.0360254708001864,79
LS03_to_LS04_RS3_0018,1.8241317750000001,1.0361286788217707,80
LS03_to_LS04_RS3_0019,1.84621516,1.0362233330609532,81
LS03_to_LS04_RS3_0020,1.866063757,1.036314414162641,82
LS03_to_LS04_RS3_0021,1.885564049,1.0364093995153663,83
LS03_to_LS04_RS3_0022,1.9178347150000001,1.036578482817646,84
LS03_to_LS04_RS3_0023,1.940006957,1.0367031838845444,85
LS03_to_LS04_RS3_0024,1.969818947,1.0368817071880896,86
