image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS01_to_LS02_RS3_0000,0.0,61.27174006657513,0
LS01_to_LS02_RS3_0010,8.19e-05,61.27174006657513,10
LS01_to_LS02_RS3_0011,0.01414173,61.27174006657513,11
LS01_to_LS02_RS3_0012,0.033498403,61.27174006657513,12
LS01_to_LS02_RS3_0013,0.053455666,61.27174006657513,13
LS01_to_LS02_RS3_0014,0.076255134,61.27174006657513,14
LS01_to_LS02_RS3_0015,0.099151236,61.27174006657513,15
LS01_to_LS02_RS3_0016,0.129340812,61.27174006657513,16
LS01_to_LS02_RS3_0017,0.158434261,61.27174006657513,17
LS01_to_LS02_RS3_0018,0.19766774,61.27174006657513,18
LS01_to_LS02_RS3_0019,0.229552943,61.27174006657513,19
LS01_to_LS02_RS3_0020,0.262882528,61.27174006657513,20
LS01_to_LS02_RS3_0021,0.297903697,61.27174006657513,21
LS01_to_LS02_RS3_0022,0.337043553,61.27174006657513,22
LS01_to_LS02_RS3_0023,0.36424508,61.27174006657513,23
LS01_to_LS02_RS3_0024,0.388378441,61.27174006657513,24
LS01_to_LS02_RS3_0025,0.431494712,61.27174006657513,25
LS01_to_LS02_RS3_0026,0.445545837,61.27174006657513,26
LS02_to_LS03_RS3_0000,0.467177266,61.27174006657513,26
LS02_to_LS03_RS3_0001,0.48118477299999995,61.27174006657513,27
LS02_to_LS03_RS3_0002,0.507814935,61.27174006657513,28
LS02_to_LS03_RS3_0003,0.5340765009999999,61.27174006657513,29
LS02_to_LS03_RS3_0004,0.5558316729999999,61.27174006657513,30
LS02_to_LS03_RS3_0005,0.5929071019999999,61.27174006657513,31
LS02_to_LS03_RS3_0006,0.6130578649999998,61.27174006657513,32
LS02_to_LS03_RS3_0007,0.6474923469999998,61.27174006657513,33
LS02_to_LS03_RS3_0008,0.6720448959999998,61.27174006657513,34
LS02_to_LS03_RS3_0009,0.6973406659999999,61.27174006657513,35
LS02_to_LS03_RS3_0010,0.7237675049999999,61.27174006657513,36
LS02_to_LS03_RS3_0011,0.7421262159999998,61.27174006657513,37
LS02_to_LS03_RS3_0012,0.7611606629999998,61.27174006657513,38
LS02_to_LS03_RS3_0013,0.7802578169999999,61.27174006657513,39
LS02_to_LS03_RS3_0014,0.8016783389999999,61.27174006657513,40
LS02_to_LS03_RS3_0015,0.8197793189999999,61.27174006657513,41
LS02_to_LS03_RS3_0016,0.8427752469999998,61.27174006657513,42
LS02_to_LS03_RS3_0017,0.8704333309999999,61.27174006657513,43
LS02_to_LS03_RS3_0018,0.9025134769999998,61.27174006657513,44
LS02_to_LS03_RS3_0019,0.9238113969999998,61.27174006657513,45
LS02_to_LS03_RS3_0020,0.9571032369999998,61.27174006657513,46
LS02_to_LS03_RS3_0021,0.9781778799999997,61.27174006657513,47
LS02_to_LS03_RS3_0022,1.0102343409999996,61.27174006657513,48
LS02_to_LS03_RS3_0023,1.0411028999999996,61.27174006657513,49
