image_names,cumulative deformation(mm),degraded strength(KN),times(s)
LS01_to_LS02_RS3_0000,0.0,53.02,0
LS01_to_LS02_RS3_0010,8.19e-05,53.02,10
LS01_to_LS02_RS3_0011,0.01414173,53.02,11
LS01_to_LS02_RS3_0012,0.033498403,53.02,12
LS01_to_LS02_RS3_0013,0.053455666,53.02,13
LS01_to_LS02_RS3_0014,0.076255134,53.02,14
LS01_to_LS02_RS3_0015,0.099151236,53.02,15
LS01_to_LS02_RS3_0016,0.129340812,53.02,16
LS01_to_LS02_RS3_0017,0.158434261,53.02,17
LS01_to_LS02_RS3_0018,0.19766774,53.02,18
LS01_to_LS02_RS3_0019,0.229552943,53.02,19
LS01_to_LS02_RS3_0020,0.262882528,53.02,20
LS01_to_LS02_RS3_0021,0.297903697,53.02,21
LS01_to_LS02_RS3_0022,0.337043553,53.02,22
LS01_to_LS02_RS3_0023,0.36424508,53.02,23
LS01_to_LS02_RS3_0024,0.388378441,53.02,24
LS01_to_LS02_RS3_0025,0.431494712,53.02,25
LS01_to_LS02_RS3_0026,0.445545837,53.02,26
LS02_to_LS03_RS3_0000,0.467177266,53.02,26
LS02_to_LS03_RS3_0001,0.48118477299999995,53.02,27
LS02_to_LS03_RS3_0002,0.507814935,53.02,28
LS02_to_LS03_RS3_0003,0.5340765009999999,53.02,29
LS02_to_LS03_RS3_0004,0.5558316729999999,53.02,30
LS02_to_LS03_RS3_0005,0.5929071019999999,53.02,31
LS02_to_LS03_RS3_0006,0.6130578649999998,53.02,32
LS02_to_LS03_RS3_0007,0.6474923469999998,53.02,33
LS02_to_LS03_RS3_0008,0.6720448959999998,53.02,34
LS02_to_LS03_RS3_0009,0.6973406659999999,53.02,35
LS02_to_LS03_RS3_0010,0.7237675049999999,53.02,36
LS02_to_LS03_RS3_0011,0.7421262159999998,53.02,37
LS02_to_LS03_RS3_0012,0.7611606629999998,53.02,38
LS02_to_LS03_RS3_0013,0.7802578169999999,53.02,39
LS02_to_LS03_RS3_0014,0.8016783389999999,53.02,40
LS02_to_LS03_RS3_0015,0.8197793189999999,53.02,41
LS02_to_LS03_RS3_0016,0.8427752469999998,53.02,42
LS02_to_LS03_RS3_0017,0.8704333309999999,53.02,43
LS02_to_LS03_RS3_0018,0.9025134769999998,53.02,44
LS02_to_LS03_RS3_0019,0.9238113969999998,53.02,45
LS02_to_LS03_RS3_0020,0.9571032369999998,53.02,46
LS02_to_LS03_RS3_0021,0.9781778799999997,53.02,47
LS02_to_LS03_RS3_0022,1.0102343409999996,53.02,48
LS02_to_LS03_RS3_0023,1.0411028999999996,53.02,49
LS02_to_LS03_RS3_0024,1.0725036379999997,53.02,50
LS02_to_LS03_RS3_0025,1.1038104999999998,53.02,51
LS02_to_LS03_RS3_0026,1.1440204549999997,53.02,52
LS02_to_LS03_RS3_0027,1.1753612649999998,53.02,53
LS02_to_LS03_RS3_0028,1.2112140019999997,53.02,54
LS02_to_LS03_RS3_0029,1.2407156799999997,53.02,55
LS02_to_LS03_RS3_0030,1.2798190299999996,53.02,56
LS02_to_LS03_RS3_0031,1.3132163379999997,53.02,57
LS02_to_LS03_RS3_0032,1.3496004299999997,53.02,58
LS02_to_LS03_RS3_0033,1.3806753119999997,53.02,59
LS02_to_LS03_RS3_0034,1.3891405369999998,53.02,60
LS02_to_LS03_RS3_0035,1.3929130479999998,53.02,61
LS02_to_LS03_RS3_0036,1.3995475729999998,53.02,62
LS03_to_LS04_RS3_0000,1.4046209479999998,53.02,62
LS03_to_LS04_RS3_0001,1.404737156,53.02,63
LS03_to_LS04_RS3_0002,1.428666585,53.02,64
LS03_to_LS04_RS3_0003,1.447118835,53.02,65
LS03_to_LS04_RS3_0004,1.475333273,53.02,66
LS03_to_LS04_RS3_0005,1.5020105799999999,53.02,67
LS03_to_LS04_RS3_0006,1.5337273349999998,53.02,68
LS03_to_LS04_RS3_0007,1.5567581869999998,53.02,69
LS03_to_LS04_RS3_0008,1.5856813109999999,53.02,70
LS03_to_LS04_RS3_0009,1.6119082679999999,53.02,71
LS03_to_LS04_RS3_0010,1.6373570389999998,53.02,72
LS03_to_LS04_RS3_0011,1.666328825,53.02,73
LS03_to_LS04_RS3_0012,1.695043334,53.02,74
LS03_to_LS04_RS3_0013,1.720088971,53.02,75
LS03_to_LS04_RS3_0014,1.736781589,53.02,76
LS03_to_LS04_RS3_0015,1.762970657,53.02,77
LS03_to_LS04_RS3_0016,1.7830095460000002,53.02,78
LS03_to_LS04_RS3_0017,1.7979051010000002,53.02,79
LS03_to_LS04_RS3_0018,1.8241317750000001,53.02,80
LS03_to_LS04_RS3_0019,1.84621516,53.02,81
LS03_to_LS04_RS3_0020,1.866063757,53.02,82
LS03_to_LS04_RS3_0021,1.885564049,53.02,83
LS03_to_LS04_RS3_0022,1.9178347150000001,53.02,84
LS03_to_LS04_RS3_0023,1.940006957,53.02,85
LS03_to_LS04_RS3_0024,1.969818947,53.02,86
LS03_to_LS04_RS3_0025,2.001726673,53.02,87
LS03_to_LS04_RS3_0026,2.0359120529999997,53.02,88
LS03_to_LS04_RS3_0027,2.0591066909999998,53.02,89
LS03_to_LS04_RS3_0028,2.095294411,53.02,90
LS03_to_LS04_RS3_0029,2.1312334059999998,53.02,91
LS03_to_LS04_RS3_0030,2.1558208029999997,53.02,92
LS03_to_LS04_RS3_0031,2.2009276109999996,53.02,93
LS03_to_LS04_RS3_0032,2.2241674079999996,53.02,94
LS03_to_LS04_RS3_0033,2.2629523749999993,53.02,95
LS03_to_LS04_RS3_0034,2.2890275369999995,53.02,96
LS03_to_LS04_RS3_0035,2.2906477839999995,53.02,97
LS04_to_LS05_RS3_0000,2.2918204819999994,53.02,97
LS04_to_LS05_RS3_0001,2.2960097639999995,53.02,98
LS04_to_LS05_RS3_0002,2.3225996929999995,53.02,99
LS04_to_LS05_RS3_0003,2.3497372879999996,53.02,100
LS04_to_LS05_RS3_0004,2.3808207719999994,53.02,101
LS04_to_LS05_RS3_0005,2.4056191229999992,53.02,102
LS04_to_LS05_RS3_0006,2.437782853999999,53.02,103
LS04_to_LS05_RS3_0007,2.461822651999999,53.02,104
LS04_to_LS05_RS3_0008,2.492988898999999,53.02,105
LS04_to_LS05_RS3_0009,2.522147476999999,53.02,106
LS04_to_LS05_RS3_0010,2.552818183999999,53.02,107
LS04_to_LS05_RS3_0011,2.576688278999999,53.02,108
LS04_to_LS05_RS3_0012,2.601896651999999,53.02,109
LS04_to_LS05_RS3_0013,2.628445603999999,53.02,110
LS04_to_LS05_RS3_0014,2.640708638999999,53.02,111
LS04_to_LS05_RS3_0015,2.6594778679999993,53.02,112
LS04_to_LS05_RS3_0016,2.681728782999999,53.02,113
LS04_to_LS05_RS3_0017,2.7004967939999993,53.02,114
LS04_to_LS05_RS3_0018,2.7232995679999994,53.02,115
LS04_to_LS05_RS3_0019,2.7511223369999995,53.02,116
LS04_to_LS05_RS3_0020,2.7741305579999995,53.02,117
LS04_to_LS05_RS3_0021,2.7974602159999997,53.02,118
LS04_to_LS05_RS3_0022,2.822786682,53.02,119
LS04_to_LS05_RS3_0023,2.851519583,53.02,120
LS04_to_LS05_RS3_0024,2.883208403,53.02,121
LS04_to_LS05_RS3_0025,2.9144520729999996,53.02,122
LS04_to_LS05_RS3_0026,2.9400591569999994,53.02,123
LS04_to_LS05_RS3_0027,2.9703494099999994,53.02,124
LS04_to_LS05_RS3_0028,2.9996423969999992,53.02,125
LS04_to_LS05_RS3_0029,3.038670956999999,53.02,126
LS04_to_LS05_RS3_0030,3.067024768999999,53.02,127
LS04_to_LS05_RS3_0031,3.097869012999999,53.02,128
LS04_to_LS05_RS3_0032,3.122799513999999,53.02,129
LS04_to_LS05_RS3_0033,3.144512881999999,53.02,130
